batter,total_runs,total_balls,dismissals,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score,fit_label,matches_played,batting_style,bowling_style
0,0.0,0.0,0.0,0.0,0.0,3.0,152.0,15.0,10.133333333333333,50.666666666666664,30.0,0.75,0.0,0,4.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,179.0,19.0,9.421052631578947,44.75,28.5,0.6666666666666666,0.0,0,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,10.0,10.6,53.0,30.0,0.6666666666666666,0.0,0,3.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,135.0,15.0,9.0,67.5,45.0,0.5,0.0,0,4.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,210.0,23.0,9.130434782608695,52.5,34.5,0.5,0.0,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,6.0,247.0,21.0,11.761904761904763,41.166666666666664,21.0,0.75,80.29523809523809,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,151.0,17.0,8.882352941176471,37.75,25.5,0.4444444444444444,0.0,0,9.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,215.0,25.0,8.6,53.75,37.5,0.4,0.0,0,10.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,6.0,278.0,26.0,10.692307692307692,46.333333333333336,26.0,0.6,71.72307692307692,0,10.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,3.0,127.0,13.0,9.76923076923077,42.333333333333336,26.0,0.5,0.0,0,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,5.0,280.0,30.0,9.333333333333334,56.0,36.0,0.45454545454545453,63.539393939393946,0,11.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,5.0,301.0,34.0,8.852941176470589,60.2,40.8,0.38461538461538464,59.53574660633484,0,13.0,Defensive,Run-leaking
0,0.0,0.0,0.0,0.0,0.0,3.0,133.0,14.0,9.5,44.333333333333336,28.0,0.42857142857142855,0.0,0,7.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,10.0,8.6,86.0,60.0,0.3333333333333333,0.0,0,3.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,11.0,8.181818181818182,90.0,66.0,0.25,0.0,0,4.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,4.0,198.0,19.0,10.421052631578947,49.5,28.5,0.4444444444444444,0.0,0,9.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,198.0,23.0,8.608695652173912,99.0,69.0,0.25,0.0,0,8.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,136.0,13.0,10.461538461538462,68.0,39.0,0.4,0.0,0,5.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,1.0,108.0,12.0,9.0,108.0,72.0,0.25,0.0,0,4.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,12.0,10.666666666666666,128.0,72.0,0.3333333333333333,0.0,0,3.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,186.0,17.0,10.941176470588236,93.0,51.0,0.3333333333333333,0.0,0,6.0,Unclassified,Unclassified
0,0.0,0.0,0.0,0.0,0.0,2.0,177.0,17.0,10.411764705882353,88.5,51.0,0.25,0.0,0,8.0,Unclassified,Unclassified
