batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
RG Sharma,1732.0,1371.0,71.0,70.0,24.3943661971831,126.33114514952591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.58453888906011
AM Rahane,878.0,678.0,40.0,40.0,21.95,129.4985250737463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.48470501474926
A Badoni,638.0,510.0,27.0,36.0,23.62962962962963,125.09803921568627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10849673202614
MP Stoinis,1413.0,1009.0,53.0,64.0,26.660377358490567,140.0396432111001,29.0,714.0,76.0,39.0,9.394736842105264,24.620689655172413,15.724137931034482,0.7435897435897436,32.088363037351535
V Shankar,558.0,461.0,26.0,31.0,21.46153846153846,121.04121475054231,9.0,184.0,27.0,12.0,6.814814814814815,20.444444444444443,18.0,0.75,32.017074858940376
KS Williamson,830.0,753.0,25.0,35.0,33.2,110.22576361221779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.00515272244356
MK Pandey,1007.0,862.0,36.0,39.0,27.97222222222222,116.8213457076566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75593580819799
WP Saha,1169.0,986.0,45.0,50.0,25.977777777777778,118.55983772819472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.505300878972278
SPD Smith,463.0,383.0,19.0,21.0,24.36842105263158,120.88772845953002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.48807200769548
EJG Morgan,552.0,456.0,23.0,29.0,24.0,121.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.410526315789475
R Ashwin,425.0,348.0,26.0,39.0,16.346153846153847,122.12643678160919,61.0,2013.0,271.0,73.0,7.428044280442805,33.0,26.65573770491803,0.8356164383561644,31.18537371640567
D Padikkal,1569.0,1333.0,64.0,65.0,24.515625,117.70442610652663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.895572721305328
RV Uthappa,541.0,437.0,27.0,27.0,20.037037037037038,123.79862700228831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.770836511568774
Kuldeep Yadav,144.0,174.0,7.0,25.0,20.571428571428573,82.75862068965517,51.0,1238.0,158.0,44.0,7.8354430379746836,24.274509803921568,18.58823529411765,1.1590909090909092,30.23408481522842
KA Pollard,670.0,483.0,27.0,36.0,24.814814814814813,138.71635610766046,14.0,389.0,49.0,26.0,7.938775510204081,27.785714285714285,21.0,0.5384615384615384,30.079395414799144
A Manohar,231.0,182.0,15.0,16.0,15.4,126.92307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.004615384615388
Anuj Rawat,318.0,276.0,14.0,21.0,22.714285714285715,115.21739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.85776397515528
R Tewatia,908.0,697.0,36.0,54.0,25.22222222222222,130.2725968436155,20.0,739.0,92.0,34.0,8.032608695652174,36.95,27.6,0.5882352941176471,29.320674526438363
Abhishek Sharma,1329.0,891.0,53.0,56.0,25.07547169811321,149.15824915824916,10.0,377.0,45.0,25.0,8.377777777777778,37.7,27.0,0.4,28.598735785528238
JD Unadkat,142.0,116.0,7.0,15.0,20.285714285714285,122.41379310344827,26.0,962.0,105.0,32.0,9.161904761904761,37.0,24.23076923076923,0.8125,28.494663382594418
AJ Finch,354.0,324.0,18.0,17.0,19.666666666666668,109.25925925925925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.751851851851853
S Dube,1471.0,1052.0,47.0,58.0,31.29787234042553,139.82889733840304,6.0,168.0,17.0,12.0,9.882352941176471,28.0,17.0,0.5,27.59043528745532
